disposition,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
CANDIDATE,20.98296043,,,,,,4822.0,0.739921,0.781,,4.59235
CANDIDATE,1.5271792,,,,,,5359.0,0.899453,0.93,,4.49859
CANDIDATE,7.8392,,1.46,,,,,1.115,,,
CANDIDATE,2.32046168,,,,,,,,,,
CANDIDATE,2.320937,,15.7,,,,,1.157,,,
CANDIDATE,1.94297,,2.571,,,,3197.0,0.436,0.486,-0.105,4.846
CANDIDATE,0.2338108,,,,,,,,,,
CANDIDATE,46.38363,,3.22,,,,,0.762,,,
CANDIDATE,46.40651,,3.35,,,,4812.0,0.73,,,
CANDIDATE,16.563155,,1.66,,,,3669.0,0.48,,,
CANDIDATE,16.56127,,0.957,,,,,0.258,,,
CANDIDATE,18.357773,,1.74,,,,4937.0,0.75,,,
CANDIDATE,18.3647,,2.61,,,,,1.22,,,
CANDIDATE,21.9184,,3.18,,,,,0.72,,,
CANDIDATE,49.8558,,3.29,,,,,1.359,,,
CANDIDATE,4.981838,,2.39347065,,,,5774.0,0.978267,,-0.08,4.37
CANDIDATE,4.9818921,,2.66,,,,5849.0,1.04,,,
CANDIDATE,4.98049071,,,,,,5234.0,1.13733,0.893,,4.27715
CANDIDATE,4.9815,,2.39,,,,,0.92,,,
CANDIDATE,4.98205,,2.3,,,,5594.0,1.01,,,4.382
CANDIDATE,3.3055191,,1.27,,,,3430.0,0.35,,,
CANDIDATE,3.30524,,6.6,,,,,1.79,,,
CANDIDATE,14.5444413,,,,,,,,,,
CANDIDATE,4.30221683,,,,,,7168.62,4.08069,1.6,,3.42072
CANDIDATE,11.31028,,18.9,,,,,1.44,,,
CANDIDATE,11.31009,,130.0,,,,4793.0,10.0,,,2.37
CANDIDATE,16.63311,,44.0,,,,5700.0,2.19,,,3.84
CANDIDATE,16.63091654,,,,,,5121.0,1.27372,0.862,,4.16342
CANDIDATE,16.63237,,10.7,,,,3648.0,0.47,,,
CANDIDATE,1.057171,,1.51,,,,,1.004,,,
CANDIDATE,0.98036126,,1.44,,,,3932.0,0.58,,,
CANDIDATE,0.97988263,,,,,,4063.0,0.701061,0.664242,,4.56888
CANDIDATE,0.980294,,1.81,,,,,0.685,,,
CANDIDATE,0.980414,,1.58,,,,4202.0,0.66,,-0.04,4.758
CANDIDATE,14.2005,,2.36,,,,,0.786,,,
CANDIDATE,28.8077,,2.08,,,,,0.215,,,
CANDIDATE,3.75927,,68.0,,,,,10.7,,,
CANDIDATE,2.41628,,2.68,,,,,1.01,,,
CANDIDATE,2.4165066,,0.988,,,,3483.0,0.38,,,
CANDIDATE,4.4984354,,3.12,,,,4309.0,0.66,,,
CANDIDATE,0.3938505,,13.7,,,,,2.16,,,
CANDIDATE,2.3240489,,33.4,,,,5107.0,0.78,,,
CANDIDATE,1.86732,,0.648,,,,,0.693,,,
CANDIDATE,22.9735,,2.61,,,,,1.067,,,
CANDIDATE,14.658196,,1.6,,,,3610.0,0.45,,,
CANDIDATE,14.65835,,1.12,,,,,0.339,,,
CANDIDATE,6.4349,,2.47,,,,,1.493,,,
CANDIDATE,4.27065,,7.6,,,,,1.5,,,
CANDIDATE,7.64309,,8.0,,,,,1.5,,,
CANDIDATE,16.858,,5.6,,,,5957.0,1.07,,,4.351
CANDIDATE,2.167697,,12.14,,,,,2.489,,,
CANDIDATE,19.2299,,1.96,,,,,0.612,,,
CANDIDATE,5.07152,,3.2,,,,,0.426,,,
CANDIDATE,8.1191,,57.0,,,,6040.0,1.2,,,4.32
CANDIDATE,16.235,,11.0,,,,6040.0,1.2,,,4.32
CANDIDATE,4.20773,,1.47,,,,,0.834,,,
CANDIDATE,1.1761477,,19.3,,,,,2.38,,,
CANDIDATE,27.270191,,2.5,,,,6171.0,1.612,1.275,-0.077,4.129
CANDIDATE,2.475573,,2.98,,,,,0.888,,,
CANDIDATE,2.475641,,5.02277659,,,,5257.0,0.824753,,0.03,4.49
CANDIDATE,2.4756313,,2.48,,,,5239.0,0.81,,,
CANDIDATE,2.475527,,42.0,,,,5962.0,1.06,,,4.4
CANDIDATE,17.7259,,23.4,,,,,1.752,,,
CANDIDATE,17.72507,,45.0,,,,6189.0,1.33,,,4.152
CANDIDATE,17.725837,,6.63,,,,5971.0,1.11,,,
CANDIDATE,17.7256773,,15.4613,,39.274,697.0,6010.0,1.63,,,4.06
CANDIDATE,54.169832,,22.0,,,,3836.0,0.55,,,
CONFIRMED,8.0468,,1.18,,,,,,0.907,,
CONFIRMED,8.050722,,1.31,,,960.6,5502.7,0.83,0.877,,
CONFIRMED,8.0516,,1.62,,,,,0.904,,,
